Rep	Year	RepSeason	x	y	Species	NInd	NInd_stage1	NJuvs
0	1	0	279	302	0	2	2	0
0	1	0	282	302	0	0	0	0
0	1	0	286	302	0	2	2	1
0	1	0	288	302	0	4	4	2
0	1	0	289	302	0	1	1	0
0	1	0	290	302	0	3	3	0
0	1	0	291	302	0	3	3	2
0	1	0	296	302	0	1	1	0
0	1	0	297	302	0	1	1	0
0	1	0	300	302	0	1	1	0
0	1	0	246	301	0	3	3	1
0	1	0	251	301	0	1	1	2
0	1	0	253	301	0	1	1	0
0	1	0	254	301	0	3	3	2
0	1	0	255	301	0	2	2	0
0	1	0	257	301	0	2	2	1
0	1	0	258	301	0	2	2	0
0	1	0	261	301	0	3	3	2
0	1	0	268	301	0	2	2	1
0	1	0	278	301	0	1	1	0
0	1	0	288	301	0	1	1	1
0	1	0	310	301	0	3	3	1
0	1	0	255	300	0	2	2	2
0	1	0	256	300	0	4	4	0
0	1	0	257	300	0	1	1	1
0	1	0	261	300	0	2	2	0
0	1	0	286	300	0	2	2	3
0	1	0	303	300	0	1	1	0
0	1	0	305	300	0	1	1	1
0	1	0	317	300	0	2	2	0
0	1	0	365	300	0	3	3	0
0	1	0	256	299	0	2	2	1
0	1	0	257	299	0	1	1	0
0	1	0	259	299	0	1	1	1
0	1	0	261	299	0	3	3	0
0	1	0	286	299	0	1	1	2
0	1	0	300	299	0	3	3	2
0	1	0	305	299	0	2	2	0
0	1	0	310	299	0	3	3	2
0	1	0	311	299	0	2	2	1
0	1	0	253	298	0	1	1	0
0	1	0	255	298	0	1	1	3
0	1	0	299	298	0	1	1	0
0	1	0	306	298	0	1	1	0
0	1	0	309	298	0	2	2	2
0	1	0	335	298	0	1	1	1
0	1	0	260	297	0	2	2	0
0	1	0	284	297	0	2	2	1
0	1	0	309	297	0	2	2	1
0	1	0	310	297	0	2	2	1
0	1	0	311	297	0	2	2	0
0	1	0	259	296	0	3	3	0
0	1	0	260	296	0	2	2	1
0	1	0	265	296	0	1	1	1
0	1	0	267	296	0	1	1	0
0	1	0	274	296	0	2	2	0
0	1	0	310	296	0	0	0	0
